review_text,source,date,bert_label,bert_score
"Can't knock FreshBasket UK today, it remembered my favourites properly, which made the whole thing much quicker. That's how online grocery should work.",social,2026-04-27,positive,0.9917
"Happy days with FreshBasket UK, used a voucher plus the offers and the whole basket came in cheaper than usual. Saved me a proper job.",social,2026-04-27,positive,0.9973
"Tried FreshBasket UK again today, it turned up roughly when promised and that did the job. It did the job.",social,2026-04-27,positive,0.9861
"Genuinely impressed with FreshBasket UK tonight, it remembered my favourites properly, which made the whole thing much quicker. Genuinely chuffed with that.",social,2026-04-27,positive,0.9965
"Really rate FreshBasket UK after this order, my berries turned up firm, not mushy, which made a nice change. Properly pleased with that.",social,2026-04-27,positive,0.9995
"Well chuffed with FreshBasket UK today, the bags weren't overstuffed and the fruit survived the trip just fine. Top effort all round.",social,2026-04-27,positive,0.9992
"Genuinely impressed with FreshBasket UK tonight, the van was early, the updates were clear, and the whole thing felt sorted. Miles better than trekking to the shop.",social,2026-04-27,positive,0.9979
"FreshBasket UK has my weekly shop sorted, support actually read my message and replaced the damaged juice by lunchtime. Can't ask for more really.",social,2026-04-27,negative,0.9963
"FreshBasket UK needs to sort itself out, the freezer bits were buried under cleaning stuff, which is just silly. Not good enough really.",social,2026-04-27,negative,0.9998
"Bit gutted with FreshBasket UK, the service fee keeps creeping up for a pretty average shop. Not using that excuse anymore.",social,2026-04-27,negative,0.999
"Can't knock FreshBasket UK today, the live chat fixed a refund without any faff and was genuinely polite. Exactly what I needed after work.",social,2026-04-27,positive,0.9953
"FreshBasket UK came through again, the multibuy deal on pasta, sauce, and veg was decent value. Made the whole week easier.",social,2026-04-27,positive,0.9978
"FreshBasket UK came through again, the van was early, the updates were clear, and the whole thing felt sorted. Exactly what I needed after work.",social,2026-04-27,positive,0.9939
"Pretty fed up with FreshBasket UK now, they acted like bruised fruit was somehow my problem. Wish I'd gone elsewhere.",social,2026-04-27,negative,0.9995
"FreshBasket UK turned up within the slot, the salad was alright and the bananas were about what I expected. Useful enough, I suppose.",social,2026-04-27,positive,0.9898
"FreshBasket UK absolutely nailed it today, the website was dead easy tonight and checkout took about thirty seconds. Small thing, big difference.",social,2026-04-27,negative,0.911
"Happy days with FreshBasket UK, used a voucher plus the offers and the whole basket came in cheaper than usual. Small thing, big difference.",social,2026-04-27,positive,0.7439
"Can't knock FreshBasket UK today, even the budget fruit tasted decent and the bananas were actually yellow. Small thing, big difference.",social,2026-04-27,negative,0.9779
"FreshBasket UK came through again, their fruit and veg promo was better than I expected this time. Nice when something just works.",social,2026-04-27,positive,0.9981
"FreshBasket UK order arrived this afternoon, search was okay, not brilliant, not awful. Nothing to rave about really.",social,2026-04-27,negative,0.985
"FreshBasket UK let me down again, the app logged me out three times while I was ordering. Not using that excuse anymore.",social,2026-04-27,negative,0.9985
"FreshBasket UK order arrived this afternoon, quality seemed normal compared with last week. Pretty standard shop overall.",social,2026-04-27,positive,0.5928
"FreshBasket UK came through again, the checkout page didn't crash once and that felt like progress. Top effort all round.",social,2026-04-27,positive,0.9938
"Used FreshBasket UK after work today, quality seemed normal compared with last week. Nothing to rave about really.",social,2026-04-27,negative,0.839
"Can't knock FreshBasket UK today, the live chat fixed a refund without any faff and was genuinely polite. That'll do me nicely.",social,2026-04-27,positive,0.9977
"FreshBasket UK did what it said today, the driver was polite and left quickly. Just part of the weekly admin.",social,2026-04-27,negative,0.9994
"Not gonna lie, FreshBasket UK was brilliant today, it remembered my favourites properly, which made the whole thing much quicker. Nice when something just works.",social,2026-04-27,positive,0.9997
"Honestly, FreshBasket UK annoyed me today, they chucked tins on top of the bread and flattened the lot. That's me properly annoyed.",social,2026-04-27,negative,0.9994
"Proper result from FreshBasket UK, the strawberries were properly sweet and the spinach actually lasted all week. Will happily order again.",social,2026-04-27,positive,0.9994
"FreshBasket UK did what it said today, browsing the offers page was simple enough this evening. Nothing wild to report.",social,2026-04-27,negative,0.9913
"FreshBasket UK smashed it again, I shaved a good few quid off the total with the bundle deals. Made the whole week easier.",social,2026-04-27,negative,0.9978
"FreshBasket UK was naff today, even logging in felt like hard work tonight. What a faff.",social,2026-04-27,negative,0.9986
"FreshBasket UK seems about the same this week, the bread survived and the eggs were whole, which will do. Pretty standard shop overall.",social,2026-04-27,positive,0.9323
"Bit gutted with FreshBasket UK, my order never turned up in the booked window and support just shrugged. Ruined the plan for dinner.",social,2026-04-27,negative,0.9995
"FreshBasket UK has my weekly shop sorted, managed to get dinner bits for less than the corner shop charges. Nice when something just works.",social,2026-04-27,positive,0.5811
